method,candidate_id,seed,best_val_acc,final_val_acc,score_05_05,reused,summary_json,curve_csv
ours,coord_01_train_lr_010,3,0.6859205776173285,0.6859205776173285,0.6859205776173285,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_010/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_010/ours_s3_curve.csv
ours,coord_01_train_lr_011,2,0.5270758122743683,0.5270758122743683,0.5270758122743683,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_011/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_011/ours_s2_curve.csv
ours,coord_01_train_lr_011,3,0.4729241877256318,0.4729241877256318,0.4729241877256318,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_011/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_011/ours_s3_curve.csv
ours,coord_01_train_lr_012,2,0.5270758122743683,0.5270758122743683,0.5270758122743683,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_012/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_012/ours_s2_curve.csv
ours,coord_01_train_lr_012,3,0.4729241877256318,0.4729241877256318,0.4729241877256318,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_012/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_012/ours_s3_curve.csv
ours,coord_01_train_lr_013,2,0.5487364620938628,0.5270758122743683,0.5379061371841156,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_013/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_013/ours_s2_curve.csv
ours,coord_01_train_lr_013,3,0.6353790613718412,0.4729241877256318,0.5541516245487365,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_013/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_013/ours_s3_curve.csv
ours,coord_01_train_lr_014,2,0.5992779783393501,0.5306859205776173,0.5649819494584838,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_014/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_014/ours_s2_curve.csv
ours,coord_01_train_lr_014,3,0.6534296028880866,0.6462093862815884,0.6498194945848375,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_014/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_014/ours_s3_curve.csv
ours,coord_01_train_lr_015,2,0.5270758122743683,0.5270758122743683,0.5270758122743683,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_015/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_015/ours_s2_curve.csv
