method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.eps,method.ours.lambda_align,train.lr
ours,local_t1_020,local,2,0.634825971634343,0.007811052323755396,0.634825971634343,0.634825971634343,3.333e-09,0.001,4e-05
ours,local_t1_017,local,2,0.6347869432301143,0.015136236857708374,0.6358248813218663,0.6337490051383623,3.333e-09,0.0005,4e-05
ours,coarse_002,coarse,2,0.6347777237717303,0.006081842904422097,0.6356867838599594,0.6338686636835014,6.254436545691668e-09,4.2835603750870586e-05,4.2333466349297045e-05
ours,coarse_016,coarse,2,0.6343949313788947,0.0017720843900115302,0.6343949313788947,0.6343949313788947,1.6147787747124455e-07,0.0034000007046740208,1.3469176819852953e-05
ours,local_t2_044,local,2,0.6343308327781156,0.0023200967446315723,0.6362270564223558,0.6324346091338756,5.8143e-08,0.002621036063,5.3988972e-05
ours,local_t3_057,local,2,0.6336776927232017,0.0018050541516245744,0.6336776927232017,0.6336776927232017,1.0324e-08,0.001226680807,1.1395237e-05
ours,local_t1_008,local,2,0.6336113304382156,0.00216930936032661,0.6336334511998776,0.6335892096765534,3e-08,0.002,1e-05
ours,local_t3_065,local,2,0.6333979092731432,0.00880152657094141,0.6333979092731432,0.6333979092731432,3.441e-09,0.001226680807,2.2790475e-05
ours,local_t3_061,local,2,0.6331334088728005,0.012207401354326242,0.6331334088728005,0.6331334088728005,3.0973e-08,0.002453361614,1.1395237e-05
ours,local_t1_025,local,2,0.6330670465878143,0.008591590716031827,0.6330670465878143,0.6330670465878143,3e-08,0.002,4e-05
ours,local_t3_053,local,2,0.6326341187505943,0.004051997558648379,0.6326341187505943,0.6326341187505943,3.441e-09,0.000613340403,1.1395237e-05
ours,coarse_048,coarse,2,0.6325126659423329,0.009031169627899294,0.6325126659423329,0.6325126659423329,1.5496174384028222e-09,0.0012371391721781903,2.7614870152529627e-05
ours,local_t2_027,local,2,0.6321516698167648,0.0006654072155518054,0.6321516698167648,0.6321516698167648,1.74429e-07,0.002621036063,1.3497243e-05
ours,coarse_068,coarse,2,0.6313865077928538,0.00957144219029571,0.6313865077928538,0.6313865077928538,1.968698091181573e-07,0.0030446769667836623,8.89560559522715e-06
ours,coarse_089,coarse,2,0.6313730190062602,0.006858601184438706,0.6313730190062602,0.6313730190062602,1.7178248671675362e-08,2.091380668569055e-05,3.874241118407581e-05
ours,local_t3_056,local,2,0.6312267123310449,0.003825417050093205,0.6312267123310449,0.6312267123310449,3.441e-09,0.001226680807,1.1395237e-05
ours,local_t1_001,local,2,0.6310335243458629,0.008489948325900776,0.6310335243458629,0.6310335243458629,1e-08,0.0005,1e-05
ours,local_t1_002,local,2,0.6307437423680898,0.0039220110426841925,0.631248833092707,0.6302386516434726,3e-08,0.0005,1e-05
ours,local_t2_028,local,2,0.6303316620585352,0.01460022867480526,0.6303316620585352,0.6303316620585352,5.23287e-07,0.002621036063,1.3497243e-05
ours,local_t3_079,local,2,0.6302670424286304,0.002479371177314671,0.6303212358203443,0.6302128490369165,3.0973e-08,0.002453361614,4.5580949e-05
ours,local_t2_030,local,2,0.6299452860881711,0.0037256622417338736,0.6299452860881711,0.6299452860881711,1.74429e-07,0.005242072127,1.3497243e-05
ours,coarse_023,coarse,2,0.6291045889802145,0.014371126441838189,0.6338045184233976,0.6244046595370314,9.972196739790987e-09,1.3518229779645042e-05,3.823731947665469e-05
ours,local_t2_041,local,2,0.6283049775285299,0.011999456297270283,0.6310155081908551,0.6255944468662048,5.8143e-08,0.010484144253,2.6994486e-05
ours,local_t3_054,local,2,0.6282779066366935,0.0012629873261058022,0.6282779066366935,0.6282779066366935,1.0324e-08,0.000613340403,1.1395237e-05
ours,local_t1_000,local,2,0.6265621810552373,0.000883355749038528,0.6265621810552373,0.6265621810552373,3.333e-09,0.0005,1e-05
ours,coarse_027,coarse,2,0.6260268586230153,0.0030084235860409203,0.6260268586230153,0.6260268586230153,4.941285494020379e-09,0.0003010895426439042,6.591246197103833e-06
ours,coarse_013,coarse,2,0.6258350371904793,0.00295564835501394,0.626677312231962,0.6249927621489966,6.768766205693289e-08,0.008222613479776325,2.6947736898386943e-05
ours,local_t3_059,local,2,0.6250879895889416,0.004697501037420615,0.6265287885318642,0.623647190646019,3.441e-09,0.002453361614,1.1395237e-05
ours,local_t1_005,local,2,0.6246303012034169,0.0024288596304948284,0.6246303012034169,0.6246303012034169,3e-08,0.001,1e-05
ours,local_t1_003,local,2,0.6235537574691965,0.003372678794742956,0.6235537574691965,0.6235537574691965,3.333e-09,0.001,1e-05
ours,coarse_021,coarse,2,0.622982093078713,0.007576149488377371,0.623282935437317,0.6226812507201089,2.200778712865205e-09,0.012323735666567833,5.289927095340224e-05
ours,coarse_092,coarse,2,0.6229791436438248,0.002025313028643061,0.6229791436438248,0.6229791436438248,4.655925136662931e-09,4.6444634176183184e-05,4.632381754022915e-05
ours,local_t3_077,local,2,0.6223523887300663,0.0018635168715480654,0.6245467682869431,0.6201580091731893,3.441e-09,0.002453361614,4.5580949e-05
ours,coarse_067,coarse,2,0.62235038803478,0.0006238054788702541,0.62235038803478,0.62235038803478,9.758580174189439e-07,1.1837237731869914e-05,4.16800494729691e-06
ours,local_t2_047,local,2,0.6222178748456877,0.0022133395027706393,0.6238958919162364,0.6205398577751391,5.8143e-08,0.005242072127,5.3988972e-05
ours,coarse_020,coarse,2,0.622135079287936,0.0028594771241829964,0.622135079287936,0.622135079287936,9.974654883847443e-07,1.0607165876570448e-05,5.540945165011018e-06
ours,coarse_051,coarse,2,0.6218976497794297,0.0034390410797290882,0.6218976497794297,0.6218976497794297,5.486764893825905e-07,0.0002784562313279017,4.1901585697980805e-06
ours,local_t3_073,local,2,0.6213789720008533,0.012724284869780222,0.6244537578718805,0.6183041861298263,3.0973e-08,0.000613340403,4.5580949e-05
ours,local_t2_045,local,2,0.620357518789908,0.0017111982130417203,0.620357518789908,0.620357518789908,1.74429e-07,0.002621036063,5.3988972e-05
ours,coarse_036,coarse,2,0.6200675254312549,0.004882789457539893,0.6217044617942478,0.618430589068262,5.5376296635273527e-08,4.722630309883477e-05,4.9900713414540896e-05
ours,coarse_076,coarse,2,0.6198994076426232,0.0006238054788701985,0.6198994076426232,0.6198994076426232,6.040782662021205e-09,0.0011121615819098384,4.857513491666263e-06
ours,local_t3_078,local,2,0.6192620151097937,0.015062449377460485,0.625166046397399,0.6133579838221884,1.0324e-08,0.002453361614,4.5580949e-05
ours,coarse_037,coarse,2,0.6190824141785709,0.0006238054788701985,0.6190824141785709,0.6190824141785709,8.306374657984547e-08,4.747099713765926e-05,3.896212351628027e-06
ours,coarse_063,coarse,2,0.6184586086997007,0.002450980392156854,0.6209095890918576,0.6160076283075439,3.0780171844841324e-07,0.00013729915765068774,5.8983684529169745e-05
ours,coarse_058,coarse,2,0.6178014106974573,0.0009767889258611717,0.6178014106974573,0.6178014106974573,3.6429408801046396e-09,0.02810626897218391,4.013035468397042e-06
ours,coarse_086,coarse,2,0.6177492696090705,0.0017416413015265975,0.619490910910597,0.6160076283075439,1.4865069689071556e-08,0.004556321010741003,8.461710764028683e-05
ours,coarse_014,coarse,2,0.6176416152356484,0.0016339869281045694,0.6176416152356484,0.6176416152356484,3.1736416827648554e-07,0.002014383107269165,4.583045338361692e-06
ours,coarse_011,coarse,2,0.6172331185036223,0.001225490196078427,0.6172331185036223,0.6172331185036223,1.782063305463899e-07,0.019294344350708453,4.566450528020854e-06
ours,coarse_018,coarse,2,0.6165759205013789,0.0002487012702172553,0.6165759205013789,0.6165759205013789,2.079962406227916e-08,0.008666626353957855,3.082299310939586e-06
ours,coarse_047,coarse,2,0.6165759205013789,0.0005682921938350294,0.6165759205013789,0.6165759205013789,4.8880746938448685e-08,0.00107294632013492,3.3521696747300706e-06
ours,coarse_079,coarse,2,0.6165759205013789,0.0005682921938350294,0.6165759205013789,0.6165759205013789,1.9520416375846277e-09,0.0028116446463409273,3.335697864778315e-06
ours,coarse_070,coarse,2,0.6161838570421183,0.02198097810183447,0.6270862317257483,0.6052814823584882,7.453331623156577e-07,1.109196478784581e-05,5.959218482553531e-05
ours,coarse_003,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.6420913456133553e-07,0.0001337517312089215,0.00033486107247024106
ours,coarse_004,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,2.322656048824511e-08,0.0002962292216389114,0.0010668405339417924
ours,coarse_005,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,3.479116825895445e-07,0.0001894509210627745,0.00048053259769495726
ours,coarse_006,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.1818536560331938e-07,0.00017922420613241283,0.0017708691511825342
ours,coarse_007,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.5882494998890924e-07,2.9763925928688085e-05,0.00010264941086557266
ours,coarse_008,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,2.6787457704699774e-07,1.1683183812292696e-05,0.0002073492795476674
ours,coarse_009,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,6.413592027834649e-07,0.0001418102260355434,0.0007209176859689968
ours,coarse_010,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,7.296788680827177e-07,0.025633996238649284,2.9648439194899918e-06
ours,coarse_012,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.928670591963339e-08,0.000313382305445931,0.00018688062494428553
ours,coarse_015,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,4.3510606984253543e-07,5.523097141847327e-05,0.0036479462302529903
ours,coarse_017,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,7.374789002762403e-08,0.0018405538760308323,3.063929174948446e-06
ours,coarse_022,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,2.639544509640978e-09,4.967440081603895e-05,0.00011541751760384575
ours,coarse_024,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.085677527728498e-08,0.005172703623230957,0.001717369014290839
ours,coarse_025,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,7.827955459553427e-09,0.000295863584103335,0.0004802374957026918
ours,coarse_026,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,3.8396463870861384e-07,3.252591697731185e-05,0.0005077027922420274
ours,coarse_031,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,3.691299156927272e-08,0.0014263933663893622,0.0031550810907966615
ours,coarse_032,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,5.222461883120326e-07,0.00828590034909691,0.0008822133337172401
ours,coarse_033,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,8.759013120418766e-07,1.3487136400692466e-05,0.0006143640251652011
ours,coarse_035,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.461968589390212e-07,0.00014009571673433434,0.00023015408022104283
ours,coarse_039,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.154506750395497e-08,0.00022285864874234057,0.0005698036456244849
ours,coarse_041,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.7147858469448014e-07,0.003650701619631956,0.00024750850521763684
ours,coarse_042,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,2.1971267207227024e-09,1.160386769576283e-05,0.00021945308277970292
ours,coarse_044,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,5.1114714196890347e-08,1.7251646678326097e-05,0.0015464526655881048
ours,coarse_045,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,5.455666829163841e-08,7.206570330167579e-05,2.4742697938159623e-06
ours,coarse_046,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,6.082174811372911e-07,0.0023779639874901537,0.00039767407878710915
ours,coarse_049,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.3092098343592608e-09,0.005358645452068627,0.004120509764544215
ours,coarse_050,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,9.48270020546811e-08,0.008146929080546919,0.00019596263261340203
ours,coarse_052,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,7.635242515810176e-07,2.83817965677611e-05,0.0023703309994694563
ours,coarse_053,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,2.021982547206044e-07,2.2091265906370015e-05,0.00019316280509751508
ours,coarse_057,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.0162280409934906e-07,1.667277485992317e-05,0.00019988664051956583
ours,coarse_059,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,2.3873745027241083e-08,0.0012009838772511436,0.00037390346123633236
ours,coarse_060,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.4667859983449325e-08,0.0001896469138924854,0.0004699428010097718
ours,coarse_061,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,3.980579373517337e-09,0.00016118503528907718,0.00027199048148197875
ours,coarse_062,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,8.054570173417088e-08,0.003439479401193199,0.0008479328191943688
ours,coarse_064,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,3.299618425551747e-08,0.0026160607850125683,2.0145779246095975e-06
ours,coarse_066,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.7701431284872107e-09,1.2842858306588782e-05,0.0048130950842870755
ours,coarse_069,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,4.339328128860421e-07,8.215158480546701e-05,0.00018062500952513867
ours,coarse_071,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.1808245424985422e-08,0.01039181664615927,0.003106510547627998
ours,coarse_072,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,2.8140003817708584e-08,2.2075843850397915e-05,0.0029462171015261825
ours,coarse_073,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,3.176402183814461e-08,2.5710108405356482e-05,0.0003341322841034785
ours,coarse_075,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,5.421865195234006e-09,0.010948232824388853,0.00013863420733948665
ours,coarse_077,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.6004125041562634e-07,3.256348094255855e-05,0.001283983899463143
ours,coarse_080,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,2.2395492262810554e-09,0.0001397404042970138,0.001406510602020014
ours,coarse_081,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,2.1410561171539607e-09,3.64717094784959e-05,2.7797990699284823e-06
ours,coarse_082,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,2.150879355114324e-07,1.8996432404913825e-05,9.3103346642803e-05
ours,coarse_083,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.0199465913998374e-09,3.469019565573118e-05,0.0030272951322167
ours,coarse_084,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,3.8057373174973915e-07,9.757450466088293e-05,0.0005581199747425264
ours,coarse_085,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,5.67410630685781e-09,0.0032306175911679742,0.0019399010897128458
ours,coarse_087,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,5.548688411276188e-09,0.017681899260379868,0.0015437551326777804
ours,coarse_088,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,4.24541232640675e-09,0.0013583234205827236,0.0003817820307670161
ours,coarse_090,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.5134168836632875e-09,0.0006308265917117281,0.0021761320900643565
ours,coarse_093,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,4.5241263171222556e-07,0.007448169305295189,0.0028861683245050753
ours,coarse_094,coarse,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,3.8481341044621246e-09,0.00021491689164750908,0.0007769046254580694
ours,coarse_001,coarse,2,0.6146855441188743,0.00132208418866947,0.6160076283075439,0.6133634599302049,9.79921378893638e-09,0.0012036726909841462,5.7311085087922365e-05
ours,local_t2_051,local,2,0.611158019992497,0.007173763007007783,0.6182654207145186,0.6040506192704753,1.74429e-07,0.010484144253,5.3988972e-05
ours,coarse_029,coarse,2,0.608781512831269,0.007226115476274775,0.6160076283075439,0.6015553973549943,2.3914976139958996e-07,0.0011637058123511847,8.364048107627016e-05
ours,local_t3_072,local,2,0.6073905912925261,0.013110501067305214,0.616289299339374,0.5984918832456783,1.0324e-08,0.000613340403,4.5580949e-05
ours,coarse_065,coarse,2,0.6057994475219239,0.010208180785619969,0.6160076283075439,0.5955912667363039,3.8600177011877774e-07,0.0008220186182953861,8.852290064639887e-05
ours,coarse_030,coarse,2,0.558003814153772,0.058003814153771927,0.6160076283075439,0.5,1.1328304927410127e-09,0.02281503334019121,0.0024699939184795556
ours,coarse_056,coarse,2,0.558003814153772,0.058003814153771927,0.6160076283075439,0.5,8.596174661503295e-07,0.015150992455981902,0.0029451653187920093
ours,coarse_091,coarse,2,0.558003814153772,0.058003814153771927,0.6160076283075439,0.5,9.426593746675332e-08,2.2730345141263274e-05,0.0001600551114488508
