lambda_align,seed,best_val_acc,final_val_acc,score_05_05,summary_json,curve_csv
0.003,2,0.6785041175468401,0.6779613621428026,0.6782327398448214,runs_ours_lambda_sweep150_glue3/lam_3.0em03/ours_s2.json,runs_ours_lambda_sweep150_glue3/lam_3.0em03/ours_s2_curve.csv
0.003,3,0.7360515540179356,0.7360515540179356,0.7360515540179356,runs_ours_lambda_sweep150_glue3/lam_3.0em03/ours_s3.json,runs_ours_lambda_sweep150_glue3/lam_3.0em03/ours_s3_curve.csv
0.003,5,0.6882301152153897,0.6882301152153897,0.6882301152153897,runs_ours_lambda_sweep150_glue3/lam_3.0em03/ours_s5.json,runs_ours_lambda_sweep150_glue3/lam_3.0em03/ours_s5_curve.csv
0.01,2,0.6823044149132206,0.6823044149132206,0.6823044149132206,runs_ours_lambda_sweep150_glue3/lam_1.0em02/ours_s2.json,runs_ours_lambda_sweep150_glue3/lam_1.0em02/ours_s2_curve.csv
0.01,3,0.6924123545023692,0.6924123545023692,0.6924123545023692,runs_ours_lambda_sweep150_glue3/lam_1.0em02/ours_s3.json,runs_ours_lambda_sweep150_glue3/lam_1.0em02/ours_s3_curve.csv
0.01,5,0.6890304244360664,0.6890304244360664,0.6890304244360664,runs_ours_lambda_sweep150_glue3/lam_1.0em02/ours_s5.json,runs_ours_lambda_sweep150_glue3/lam_1.0em02/ours_s5_curve.csv
0.03,2,0.6943852804207317,0.6943852804207317,0.6943852804207317,runs_ours_lambda_sweep150_glue3/lam_3.0em02/ours_s2.json,runs_ours_lambda_sweep150_glue3/lam_3.0em02/ours_s2_curve.csv
0.03,3,0.6948035204681053,0.6948035204681053,0.6948035204681053,runs_ours_lambda_sweep150_glue3/lam_3.0em02/ours_s3.json,runs_ours_lambda_sweep150_glue3/lam_3.0em02/ours_s3_curve.csv
0.03,5,0.6979657473275291,0.6979657473275291,0.6979657473275291,runs_ours_lambda_sweep150_glue3/lam_3.0em02/ours_s5.json,runs_ours_lambda_sweep150_glue3/lam_3.0em02/ours_s5_curve.csv
0.1,2,0.684080446964885,0.6742455068427681,0.6791629769038265,runs_ours_lambda_sweep150_glue3/lam_1.0em01/ours_s2.json,runs_ours_lambda_sweep150_glue3/lam_1.0em01/ours_s2_curve.csv
0.1,3,0.6835221186577507,0.6835221186577507,0.6835221186577507,runs_ours_lambda_sweep150_glue3/lam_1.0em01/ours_s3.json,runs_ours_lambda_sweep150_glue3/lam_1.0em01/ours_s3_curve.csv
0.1,5,0.7094110195140494,0.7091704638307887,0.709290741672419,runs_ours_lambda_sweep150_glue3/lam_1.0em01/ours_s5.json,runs_ours_lambda_sweep150_glue3/lam_1.0em01/ours_s5_curve.csv
1.0,2,0.6943916713342958,0.6736288685189548,0.6840102699266253,runs_ours_lambda_sweep150_glue3/lam_1.0e0/ours_s2.json,runs_ours_lambda_sweep150_glue3/lam_1.0e0/ours_s2_curve.csv
1.0,3,0.6869420378978686,0.6869420378978686,0.6869420378978686,runs_ours_lambda_sweep150_glue3/lam_1.0e0/ours_s3.json,runs_ours_lambda_sweep150_glue3/lam_1.0e0/ours_s3_curve.csv
1.0,5,0.6997849095622387,0.6997849095622387,0.6997849095622387,runs_ours_lambda_sweep150_glue3/lam_1.0e0/ours_s5.json,runs_ours_lambda_sweep150_glue3/lam_1.0e0/ours_s5_curve.csv
