lambda_align,step,n_train,train_acc_mean,train_acc_std,n_val,val_acc_mean,val_acc_std
0.03,30.0,3.0,0.6426648825770002,0.00882594066791761,3.0,0.6390684207737373,0.008976134218197113
0.03,60.0,3.0,0.659726692740016,0.011280309844631771,3.0,0.6553788739427477,0.006243911994524846
0.03,90.0,3.0,0.6763211279974879,0.010063157751398145,3.0,0.6723255793189705,0.009144239472060322
0.03,120.0,3.0,0.697147276562129,0.00373210702511658,3.0,0.6872239054644301,0.005298297073664422
0.03,150.0,3.0,0.7160724273199207,0.005694626578801988,3.0,0.6957181827387887,0.0015984140305787943
0.1,30.0,3.0,0.6405174766113396,0.0046899459951514864,3.0,0.6372870931243731,0.009950686677056774
0.1,60.0,3.0,0.6663391484639138,0.009610468318163982,3.0,0.6620733898353436,0.005447140320660991
0.1,90.0,3.0,0.6919831394483239,0.014029948639175387,3.0,0.6778326427338529,0.021749257965240864
0.1,120.0,3.0,0.7109522711937114,0.004576324340400273,3.0,0.6906415859995754,0.013470741553355765
0.1,150.0,3.0,0.7117362217232911,0.015301346010677407,3.0,0.6889793631104358,0.014771014248995577
1.0,30.0,3.0,0.646531242023511,0.00687170393143614,3.0,0.6518114245162336,0.015300148076526118
1.0,60.0,3.0,0.6601972726737121,0.010641475972849587,3.0,0.6614021704703763,0.012090439611162114
1.0,90.0,3.0,0.6796640041656857,0.01663510237314829,3.0,0.6740481115061563,0.014183546190225051
1.0,120.0,3.0,0.6980684478615579,0.0050388624544165945,3.0,0.6880764297685843,0.005264100549727735
1.0,150.0,3.0,0.7029358128380089,0.004767066328234208,3.0,0.6867852719930206,0.01067873439524181
