lambda_align,seed,best_val_acc,final_val_acc,score_05_05,summary_json,curve_csv
0.001,2,0.6372593586332521,0.6172552392652843,0.6272572989492682,runs_ours_lambda_sweep50_glue3/lam_1.0em03/ours_s2.json,runs_ours_lambda_sweep50_glue3/lam_1.0em03/ours_s2_curve.csv
0.001,3,0.6631515030195766,0.6481644119862953,0.655657957502936,runs_ours_lambda_sweep50_glue3/lam_1.0em03/ours_s3.json,runs_ours_lambda_sweep50_glue3/lam_1.0em03/ours_s3_curve.csv
0.001,5,0.6786195781666757,0.6619595382552507,0.6702895582109631,runs_ours_lambda_sweep50_glue3/lam_1.0em03/ours_s5.json,runs_ours_lambda_sweep50_glue3/lam_1.0em03/ours_s5_curve.csv
0.003,2,0.660403741043983,0.6407745929762888,0.6505891670101359,runs_ours_lambda_sweep50_glue3/lam_3.0em03/ours_s2.json,runs_ours_lambda_sweep50_glue3/lam_3.0em03/ours_s2_curve.csv
0.003,3,0.6421838629409881,0.638656958111102,0.640420410526045,runs_ours_lambda_sweep50_glue3/lam_3.0em03/ours_s3.json,runs_ours_lambda_sweep50_glue3/lam_3.0em03/ours_s3_curve.csv
0.003,5,0.6739563547658785,0.6501932499148312,0.6620748023403549,runs_ours_lambda_sweep50_glue3/lam_3.0em03/ours_s5.json,runs_ours_lambda_sweep50_glue3/lam_3.0em03/ours_s5_curve.csv
0.01,2,0.6589379793623488,0.6589379793623488,0.6589379793623488,runs_ours_lambda_sweep50_glue3/lam_1.0em02/ours_s2.json,runs_ours_lambda_sweep50_glue3/lam_1.0em02/ours_s2_curve.csv
0.01,3,0.6674898559234709,0.6674898559234709,0.6674898559234709,runs_ours_lambda_sweep50_glue3/lam_1.0em02/ours_s3.json,runs_ours_lambda_sweep50_glue3/lam_1.0em02/ours_s3_curve.csv
0.01,5,0.6681038304240198,0.6531641763708448,0.6606340033974323,runs_ours_lambda_sweep50_glue3/lam_1.0em02/ours_s5.json,runs_ours_lambda_sweep50_glue3/lam_1.0em02/ours_s5_curve.csv
0.03,2,0.6375174440834087,0.6258431481364221,0.6316802961099154,runs_ours_lambda_sweep50_glue3/lam_3.0em02/ours_s2.json,runs_ours_lambda_sweep50_glue3/lam_3.0em02/ours_s2_curve.csv
0.03,3,0.6502401552614197,0.6502401552614197,0.6502401552614197,runs_ours_lambda_sweep50_glue3/lam_3.0em02/ours_s3.json,runs_ours_lambda_sweep50_glue3/lam_3.0em02/ours_s3_curve.csv
0.03,5,0.6534919765077709,0.6457804824576435,0.6496362294827072,runs_ours_lambda_sweep50_glue3/lam_3.0em02/ours_s5.json,runs_ours_lambda_sweep50_glue3/lam_3.0em02/ours_s5_curve.csv
0.1,2,0.659150270806196,0.6463412087712834,0.6527457397887397,runs_ours_lambda_sweep50_glue3/lam_1.0em01/ours_s2.json,runs_ours_lambda_sweep50_glue3/lam_1.0em01/ours_s2_curve.csv
0.1,3,0.6600645362369663,0.6600645362369663,0.6600645362369663,runs_ours_lambda_sweep50_glue3/lam_1.0em01/ours_s3.json,runs_ours_lambda_sweep50_glue3/lam_1.0em01/ours_s3_curve.csv
0.1,5,0.6664393565759436,0.6639719577571698,0.6652056571665567,runs_ours_lambda_sweep50_glue3/lam_1.0em01/ours_s5.json,runs_ours_lambda_sweep50_glue3/lam_1.0em01/ours_s5_curve.csv
